,Suburb,Count
0,MELBOURNE,4236
1,CASEY,3054
2,GEELONG,2813
3,DANDENONG,2557
4,HUME,2389
5,BRIMBANK,2353
6,MONASH,2217
7,MORELAND,2190
8,YARRA RANGES,2164
9,WHITTLESEA,2151
10,KINGSTON,1844
11,DAREBIN,1827
12,YARRA,1803
13,BOROONDARA,1682
14,WYNDHAM,1664
15,STONNINGTON,1625
16,PORT PHILLIP,1546
17,KNOX,1533
18,WHITEHORSE,1532
19,GLEN EIRA,1519
20,MORNINGTON PENINSULA,1509
21,BENDIGO,1465
22,BALLARAT,1345
23,FRANKSTON,1287
24,MELTON,1248
25,MOONEE VALLEY,1246
26,CARDINIA,1153
27,MAROONDAH,1132
28,BANYULE,1094
29,MARIBYRNONG,1045
30,HOBSONS BAY,1028
31,MANNINGHAM,942
32,BAYSIDE,933
33,BAW BAW,927
34,SHEPPARTON,855
35,LATROBE,839
36,EAST GIPPSLAND,758
37,MITCHELL,735
38,WELLINGTON,702
39,NILLUMBIK,694
40,MILDURA,614
41,MURRINDINDI,613
42,MACEDON RANGES,590
43,COLAC OTWAY,543
44,SOUTH GIPPSLAND,519
45,MOORABOOL,509
46,CAMPASPE,481
47,SURF COAST,466
48,BASS COAST,399
49,WANGARATTA,360
50,MOIRA,354
51,GOLDEN PLAINS,348
52,WODONGA,322
53,MANSFIELD,321
54,WARRNAMBOOL,307
55,MOYNE,274
56,CORANGAMITE,273
57,ALPINE,272
58,INDIGO,264
59,GLENELG,259
60,HEPBURN,253
61,SWAN HILL,250
62,STRATHBOGIE,239
63,HORSHAM,238
64,MOUNT ALEXANDER,227
65,BENALLA,226
66,NORTHERN GRAMPIANS,196
67,SOUTHERN GRAMPIANS,188
68,TOWONG,177
69,ARARAT,174
70,PYRENEES,166
71,LODDON,153
72,CENTRAL GOLDFIELDS,147
73,GANNAWARRA,147
74,BULOKE,102
75,HINDMARSH,67
76,WEST WIMMERA,64
77,YARRIAMBIACK,51
78, ,41
79,(MOUNT HOTHAM),22
80,(FALLS CREEK),15
81,(LAKE MOUNTAIN),13
82,(MOUNT BULLER),10
83,QUEENSCLIFFE,10
84,(MOUNT BAW BAW),5
85,(MOUNT STIRLING),1
86,MOUNT BULLER ALPINE RESOR,1
87,(FRENCH ISLAND),1
